trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,109,25.11520737327189,-14.174631247106484,-57.782203973383865,100.73444534677274,179.98661760604594,-47.020630325791885,-194.14303256923753,3.2739472004550407e-06,0.017204519110748606,0.012257659547728395,0.5512075240289391,0.3175242081542038,0.5509579237098876,0.8418148470506545
BASELINE sin afinar,110,25.34562211981567,-14.174631610356563,-57.78029510236012,100.73580535520884,180.04777503008748,-47.055860183504265,-194.2041622996938,3.6325007890525285e-07,0.001908871023744041,0.0013600084360945175,0.06115742404153934,0.03522985771238041,0.06112973045625836,0.09340080699410211
BASELINE sin afinar,111,25.57603686635945,-14.174631610356563,-57.78029510236012,100.73580535520884,180.04777503008748,-47.055860183504265,-194.2041622996938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE sin afinar,112,25.806451612903224,-14.17462088902099,-57.78921456368757,100.7294542557722,179.7612961325221,-46.89075368843247,-193.91777170132698,1.0721335574004343e-05,0.008919461327451472,0.006351099436642471,0.286478897565388,0.16510649507179664,0.2863905983668076,0.43757260159594596
BASELINE sin afinar,113,26.036866359447004,-14.17458872501426,-57.81597294766991,100.71040095746221,178.90185943982584,-46.39543420321705,-193.05859990622656,3.2164006729118455e-05,0.026758383982340206,0.019053298309984257,0.8594366926962493,0.49531948521541835,0.8591717951004227,1.312717804787905
BASELINE sin afinar,114,26.267281105990783,-14.174535118336385,-57.860570254307156,100.67864546027891,177.46946495199882,-45.56990172785804,-191.6266469143925,5.360667787535078e-05,0.04459730663724315,0.03175549718329762,1.4323944878270254,0.8255324753590116,1.4319529918340663,2.187863007979816
BASELINE sin afinar,115,26.497695852534562,-14.174460068990218,-57.92300648121894,100.63418776591723,175.46411274549396,-44.41415630641761,-189.6219128022543,7.504934616697767e-05,0.0624362269117853,0.04445769436168234,2.0053522065048526,1.1557454214404288,2.004734112138209,3.0630080943961455
BASELINE sin afinar,116,26.72811059907834,-14.17436357698274,-58.003281622597655,100.57702787851247,172.88580300684296,-42.928198046399636,-187.0443977562861,9.649200747752218e-05,0.0802751413787135,0.057159887404765186,2.5783097386510008,1.4859582600179735,2.577515045968198,3.9381528959009304
BASELINE sin afinar,117,26.95852534562212,-14.174245642336741,-58.10139565948849,100.50716581156139,169.73453634484346,-41.11202729867271,-183.89410238509788,0.0001179346459991848,0.0981140368908342,0.06986206695107455,3.1512666619995002,1.8161707477269289,3.150295371188207,4.813296767518141
BASELINE sin afinar,118,27.1889400921659,-14.17410626504485,-58.21734859801923,100.42460156070071,166.01031256268135,-38.96564394980686,-180.1710264919362,0.00013937729189095194,0.1159529385307394,0.08256425086068475,3.724223782162113,2.1463833488658466,3.7230758931616776,5.68844093975249
BASELINE sin afinar,119,27.419354838709676,-14.173945445104183,-58.35114044059042,100.32933512422113,161.7131315832548,-36.489047955365976,-175.87516999972306,0.0001608199406675226,0.13379184257119192,0.09526643647957656,4.2971809794265425,2.476595994440885,4.295856492213147,6.563585229753393
