condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,115,23.80952380952381,-2.136204,-72.233215,114.740967,0.016659,47.174831,-2.202405,0.0,0.15205399999999258,0.10416399999999726,6.799999999999862e-05,0.2562339999999992,0.00010100000000035081,0.31563655585656863
KRL,116,24.016563146997928,-2.136204,-71.970993,114.91993,0.016781,46.728611,-2.202583,0.0,0.2622219999999942,0.178962999999996,0.00012200000000000058,0.44621999999999673,0.00017800000000001148,0.5476316897523303
KRL,117,24.22360248447205,-2.136204,-71.811287,115.021255,0.016852,46.472527,-2.202687,0.0,0.15970600000001411,0.10132500000000277,7.099999999999815e-05,0.2560840000000013,0.00010399999999988196,0.3183579635787453
KRL,118,24.43064182194617,-2.136204,-71.660614,115.118324,0.016922,46.224762,-2.202788,0.0,0.15067299999999761,0.09706900000000473,7.000000000000062e-05,0.24776500000000112,0.00010099999999990672,0.3057977338307149
KRL,119,24.63768115942029,-2.136204,-71.498894,115.220795,0.016997,45.960545,-2.202896,0.0,0.16171999999998832,0.1024709999999942,7.500000000000215e-05,0.26421699999999504,0.00010799999999999699,0.3262886829465472
KRL,120,24.84472049689441,-2.136204,-71.218529,115.394325,0.017129,45.506607,-2.203085,0.0,0.2803650000000033,0.17352999999999952,0.0001319999999999967,0.45393800000000084,0.00018900000000021677,0.5610498686516221
KRL,121,25.05175983436853,-2.136204,-71.054008,115.493774,0.017207,45.242607,-2.203196,0.0,0.1645210000000077,0.099449000000007,7.800000000000168e-05,0.2640000000000029,0.00011099999999997223,0.32657813987927214
KRL,122,25.25879917184265,-2.136204,-70.893654,115.589058,0.017283,44.986946,-2.203305,0.0,0.1603539999999981,0.09528399999999237,7.599999999999968e-05,0.25566099999999636,0.00010899999999969268,0.31647276430997356
KRL,123,25.46583850931677,-2.136204,-70.727119,115.686317,0.017364,44.723129,-2.203418,0.0,0.1665349999999961,0.0972590000000082,8.100000000000121e-05,0.2638170000000031,0.00011300000000025179,0.32679144438770413
KRL,124,25.67287784679089,-2.136204,-70.438515,115.850868,0.017504,44.261688,-2.203619,0.0,0.2886040000000065,0.164551000000003,0.00013999999999999777,0.46144100000000066,0.00020100000000011775,0.5685922589158292
